97,Mensura Zoili,NDC 913,1998/11/11,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
98,蜜柑,NDC 913,1998/3/16,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,野口英司
99,水の三日,NDC 914,1999/1/11,2014/9/17,879,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店,j.utiyama,かとうかおり
100,桃太郎,NDC 913,1999/1/8,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
101,毛利先生,NDC 913,1998/12/7,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
102,貉,NDC 913,1998/11/7,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
103,妙な話,NDC 913,1998/12/19,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
104,長崎小品,NDC 912 913,1999/1/26,2014/9/17,879,芥川 竜之介,芥川龍之介作品集第三巻,昭和出版社,j.utiyama,かとうかおり
105,南京の基督,NDC 913,1998/11/13,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,柳沢成雄
106,葱,NDC 913,1998/12/8,2014/9/17,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
107,年末の一日,NDC 913 914,1998/10/6,2016/2/25,879,芥川 竜之介,昭和文学全集　第1巻,小学館,j.utiyama,野口英司
108,鼠小僧次郎吉,NDC 913,1999/1/17,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
109,尼提,NDC 913,1999/2/1,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
110,日光小品,NDC 914 915,1999/1/11,2014/9/17,879,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店,j.utiyama,かとうかおり
111,庭,NDC 913,1999/3/1,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,もりみつじゅんじ
112,野呂松人形,NDC 914,1998/11/11,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
113,沼地,NDC 914,1998/12/28,2014/9/17,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
114,女体,NDC 913,1998/12/28,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
